node_id,canonical_name,mae,model,fold_id
17,Moneragala,2.5961538461538463,persistence,3
18,Mullaitivu,1.6730769230769231,persistence,3
19,Nuwara Eliya,3.4423076923076925,persistence,3
20,Polonnaruwa,3.9038461538461537,persistence,3
21,Puttalam,8.75,persistence,3
22,Ratnapura,20.53846153846154,persistence,3
23,Trincomalee,11.288461538461538,persistence,3
24,Vavuniya,6.923076923076923,persistence,3
0,Ampara,31.384615384615383,seasonal_naive,3
1,Anuradhapura,15.25,seasonal_naive,3
2,Badulla,24.96153846153846,seasonal_naive,3
3,Batticaloa,79.8076923076923,seasonal_naive,3
4,Colombo,202.67307692307693,seasonal_naive,3
5,Galle,108.03846153846153,seasonal_naive,3
6,Gampaha,164.15384615384616,seasonal_naive,3
7,Hambantota,22.46153846153846,seasonal_naive,3
8,Jaffna,101.9423076923077,seasonal_naive,3
9,Kalutara,90.86538461538461,seasonal_naive,3
10,Kandy,111.90384615384616,seasonal_naive,3
11,Kegalle,27.53846153846154,seasonal_naive,3
12,Kilinochchi,7.269230769230769,seasonal_naive,3
13,Kurunegala,35.82692307692308,seasonal_naive,3
14,Mannar,7.115384615384615,seasonal_naive,3
15,Matale,41.25,seasonal_naive,3
16,Matara,55.59615384615385,seasonal_naive,3
17,Moneragala,10.98076923076923,seasonal_naive,3
18,Mullaitivu,3.769230769230769,seasonal_naive,3
19,Nuwara Eliya,6.0,seasonal_naive,3
20,Polonnaruwa,6.5576923076923075,seasonal_naive,3
21,Puttalam,36.82692307692308,seasonal_naive,3
22,Ratnapura,42.90384615384615,seasonal_naive,3
23,Trincomalee,43.0,seasonal_naive,3
24,Vavuniya,13.557692307692308,seasonal_naive,3
0,Ampara,7.884615384615385,persistence,4
1,Anuradhapura,2.769230769230769,persistence,4
2,Badulla,3.576923076923077,persistence,4
3,Batticaloa,17.846153846153847,persistence,4
4,Colombo,20.96153846153846,persistence,4
5,Galle,9.557692307692308,persistence,4
6,Gampaha,14.942307692307692,persistence,4
7,Hambantota,3.25,persistence,4
8,Jaffna,11.692307692307692,persistence,4
9,Kalutara,9.692307692307692,persistence,4
10,Kandy,15.711538461538462,persistence,4
11,Kegalle,4.384615384615385,persistence,4
12,Kilinochchi,1.5384615384615385,persistence,4
13,Kurunegala,9.442307692307692,persistence,4
14,Mannar,1.9038461538461537,persistence,4
15,Matale,4.4423076923076925,persistence,4
16,Matara,3.0,persistence,4
17,Moneragala,0.0,persistence,4
18,Mullaitivu,1.1346153846153846,persistence,4
19,Nuwara Eliya,2.3461538461538463,persistence,4
20,Polonnaruwa,2.173076923076923,persistence,4
21,Puttalam,5.288461538461538,persistence,4
22,Ratnapura,14.557692307692308,persistence,4
23,Trincomalee,13.346153846153847,persistence,4
24,Vavuniya,3.7884615384615383,persistence,4
0,Ampara,37.67307692307692,seasonal_naive,4
1,Anuradhapura,17.01923076923077,seasonal_naive,4
2,Badulla,33.69230769230769,seasonal_naive,4
3,Batticaloa,39.67307692307692,seasonal_naive,4
4,Colombo,332.36538461538464,seasonal_naive,4
5,Galle,121.36538461538461,seasonal_naive,4
6,Gampaha,227.40384615384616,seasonal_naive,4
7,Hambantota,32.0,seasonal_naive,4
8,Jaffna,129.73076923076923,seasonal_naive,4
9,Kalutara,113.21153846153847,seasonal_naive,4
10,Kandy,132.76923076923077,seasonal_naive,4
11,Kegalle,37.82692307692308,seasonal_naive,4
12,Kilinochchi,6.6923076923076925,seasonal_naive,4
13,Kurunegala,49.25,seasonal_naive,4
14,Mannar,5.75,seasonal_naive,4
15,Matale,43.19230769230769,seasonal_naive,4
16,Matara,70.38461538461539,seasonal_naive,4
17,Moneragala,5.980769230769231,seasonal_naive,4
18,Mullaitivu,3.25,seasonal_naive,4
19,Nuwara Eliya,8.0,seasonal_naive,4
20,Polonnaruwa,9.942307692307692,seasonal_naive,4
21,Puttalam,39.51923076923077,seasonal_naive,4
22,Ratnapura,50.23076923076923,seasonal_naive,4
23,Trincomalee,78.28846153846153,seasonal_naive,4
24,Vavuniya,14.788461538461538,seasonal_naive,4
0,Ampara,3.8076923076923075,persistence,5
1,Anuradhapura,3.0961538461538463,persistence,5
2,Badulla,7.038461538461538,persistence,5
3,Batticaloa,15.98076923076923,persistence,5
4,Colombo,44.13461538461539,persistence,5
5,Galle,4.634615384615385,persistence,5
6,Gampaha,25.153846153846153,persistence,5
7,Hambantota,3.9423076923076925,persistence,5
8,Jaffna,3.0384615384615383,persistence,5
9,Kalutara,10.423076923076923,persistence,5
10,Kandy,5.8076923076923075,persistence,5
11,Kegalle,5.134615384615385,persistence,5
12,Kilinochchi,0.6538461538461539,persistence,5
13,Kurunegala,13.096153846153847,persistence,5
14,Mannar,2.7115384615384617,persistence,5
15,Matale,3.3076923076923075,persistence,5
16,Matara,7.384615384615385,persistence,5
17,Moneragala,2.5384615384615383,persistence,5
18,Mullaitivu,0.2692307692307692,persistence,5
19,Nuwara Eliya,1.25,persistence,5
20,Polonnaruwa,1.6923076923076923,persistence,5
21,Puttalam,5.5,persistence,5
22,Ratnapura,6.480769230769231,persistence,5
23,Trincomalee,2.6923076923076925,persistence,5
24,Vavuniya,0.9038461538461539,persistence,5
0,Ampara,22.615384615384617,seasonal_naive,5
